Date,Open,High,Low,Close,Moving Average 50,Moving Average 15
5/14/2015 12:30:00 PM,547.56,547.93,544.5,545.8,542.5626,545.994
5/14/2015 12:40:00 PM,545.8,546.15,542.5,545.81,542.6424,546.0953
5/14/2015 12:50:00 PM,545.81,545.81,544.82,545.75,542.7296,546.12
5/14/2015 1:00:00 PM,545.75,546.78,545.48,546.78,542.8454,546.1873
5/14/2015 1:10:00 PM,546.78,547.27,546.63,547.05,542.949,546.314
5/14/2015 1:20:00 PM,547.05,547.47,547.01,547.18,543.0768,546.4594
5/14/2015 1:30:00 PM,547.21,547.74,547.08,547.54,543.2022,546.5873
5/14/2015 1:40:00 PM,547.54,547.79,547.15,547.38,543.3236,546.6847
5/14/2015 1:50:00 PM,547.41,547.6,546.75,547.05,543.4428,546.7607
5/14/2015 2:00:00 PM,547.01,547.58,546.99,547.2,543.5644,546.808
5/14/2015 2:10:00 PM,547.41,548,547.34,548,543.705,546.8907
5/14/2015 2:20:00 PM,548,548.7,547.95,548.67,543.869,547.002
5/14/2015 2:30:00 PM,548.67,548.79,548.25,548.79,544.0152,547.1467
5/14/2015 2:40:00 PM,548.79,548.96,548.41,548.75,544.1624,547.2874
5/14/2015 2:50:00 PM,548.75,548.87,548.51,548.55,544.3074,547.3533
5/14/2015 3:00:00 PM,548.55,548.78,548.31,548.78,544.4422,547.552
5/14/2015 3:10:00 PM,548.78,549.05,548.5,549.05,544.5858,547.768
5/14/2015 3:20:00 PM,549.05,549.16,548.35,548.5,544.7246,547.9514
5/14/2015 3:30:00 PM,548.5,548.96,548.42,548.65,544.8764,548.076
5/14/2015 3:40:00 PM,548.65,549.07,548.34,549.02,545.0282,548.2073
5/14/2015 3:50:00 PM,549.02,549.45,548.62,549.03,545.1898,548.3307
5/14/2015 4:00:00 PM,549.03,549.69,548.84,549.25,545.368,548.4446
5/15/2015 9:40:00 AM,550.39,550.6,546.51,546.61,545.5,548.3933
5/15/2015 9:50:00 AM,546.61,547.4,545.75,547.21,545.6402,548.404
5/15/2015 10:00:00 AM,547.05,547.26,546.6,546.66,545.7706,548.368
5/15/2015 10:10:00 AM,546.96,546.96,544.67,544.94,545.864,548.164
5/15/2015 10:20:00 AM,544.94,545.1,544.15,544.86,545.9546,547.91
5/15/2015 10:30:00 AM,544.7,545.79,544,544.46,546.0338,547.6213
5/15/2015 10:40:00 AM,544.4,544.53,543.66,543.88,546.1088,547.2967
5/15/2015 10:50:00 AM,544.06,544.99,543.85,544.32,546.1988,547.0146
5/15/2015 11:00:00 AM,544.45,544.61,543.6,544.23,546.3014,546.7114
5/15/2015 11:10:00 AM,544.23,544.74,544,544.58,546.396,546.4133
5/15/2015 11:20:00 AM,544.58,544.7,542.58,542.66,546.4594,546.024
5/15/2015 11:30:00 AM,542.66,543.71,542.63,542.75,546.4244,545.6307
5/15/2015 11:40:00 AM,542.75,543.19,542.5,542.87,546.4022,545.2206
5/15/2015 11:50:00 AM,542.87,543.62,542.5,542.89,546.3922,544.8113
5/15/2015 12:00:00 PM,542.83,543.77,542.75,543.68,546.38,544.44
5/15/2015 12:10:00 PM,543.68,544.17,543.16,543.74,546.3472,544.2487
5/15/2015 12:20:00 PM,543.54,543.65,543.11,543.2,546.2958,543.9813
5/15/2015 12:30:00 PM,543.2,544.39,543.2,544.27,546.2782,543.822
5/15/2015 12:40:00 PM,544.27,545.12,544.11,545.05,546.2792,543.8293
5/15/2015 12:50:00 PM,544.96,545.18,544.82,545.12,546.2692,543.8467
